19,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,m,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
20,y,n,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,m,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n
21,y,y,y,y,y,y,y,y,n,n,y,n,n,n,n,y,n,y,n,n,m,n,n,n,n,n,y,y,n,n,y,n,y,n,y,n,n,y,y,n,n,n,y,y,n,y,n,n,y,y,n,n,n,n,n,y,n,n,y,y,n,y,y
22,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,m,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
23,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,m,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n
24,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,m,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
25,n,n,n,y,n,n,n,n,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,m,y,n,n,n,n,n,y,n,n,n,n,n,y,y,n,n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,y,n,n,n,y,n,n
26,y,y,n,n,y,y,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,y,m,n,n,y,n,y,y,n,n,y,n,n,y,n,n,n,n,n,y,n,n,y,n,n,y,n,n,n,n,n,y,n,n,n,n,n,y,y
27,n,y,y,y,y,y,y,n,n,y,y,n,n,y,n,n,n,y,n,n,y,n,n,n,n,n,m,n,n,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,n,n,n,n,y,n,n,y,n,n,n,y,n,n,n,y,n,n,n
28,y,y,y,y,y,y,y,n,y,n,y,n,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,m,n,n,n,n,y,n,y,n,n,y,n,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,y,y
